Size	All paths top-down	All paths bottom-up
2	0.008	0.02
3	0.013	0.012
4	0.016	0.019
5	0.03	0.03
6	0.043	0.047
7	0.062	0.076
8	0.095	0.117
9	0.151	0.186
10	0.237	0.296
11	0.369	0.475
12	0.606	0.79
13	0.951	1.198
14	2.332	2.999
15	3.407	3.919
16	5.065	6.399
17	7.117	10.83
18	12.778	13.532
19	18.631	20.913
20	23.74	28.838
21	36.869	46.719
22	65.553	87.059
23	109.403	136.435
24	178.632	240.047
25	326.236	385.948
26	486.893	627.191
27	802.711	1001.6
28	1403.44	1685.24
29	2284.5	2620.67
30	3580.32	4543.49
31	6186.91	7406.01
32	10329.8	12805.8
